pal|freq
—J|1
Ross|3
Etchings|1
Cruize|1
1846|1
Whaleship|1
board|63
occurred|10
horrid|4
transactions|1
relate|1
belonged|13
island|25
Mutiny|1
Lay|7
Hussey|17
survivors|1
1828|2
Being|5
pursued|10
parried|1
assault|4
lance|41
furious|7
rushed|15
comrades|10
preserved|5
leaping|14
onset|6
inevitable|2
—Missionary|1
Journal|1
Tyerman|1
Webster|3
striking|21
peculiar|56
portion|4
National|3
interest|18
population|3
eight|19
nine|9
thousand|50
adding|3
largely|8
wealth|3
boldest|1
persevering|1
industry|3
—Report|1
Speech|1
U|1
S|6
Senate|1
application|6
Erection|1
Breakwater|1
fell|36
directly|21
probably|13
moment|104
Captors|1
Whaleman|2
Adventures|2
Biography|1
gathered|8
Homeward|1
Cruise|1
Commodore|10
Preble|1
Rev|2
Cheever|2
damn|3
bit|25
noise|12
replied|10
Samuel|10
send|12
hell|13
—Life|1
Comstock|2
mutineer|3
brother|9
Another|7
whaleship|27
voyages|11
Northern|4
possible|30
discover|8
India|5
failed|4
object|38
laidopen|1
haunts|3
—McCulloch|1
Commercial|1
These|19
reciprocal|1
ball|9
rebounds|2
bound|23
forward|47
laying|6
whalemen|69
seem|85
indirectly|14
hit|13
new|39
clews|1
mystic|16
NorthWest|1
Passage|2
—From|1
Something|4
unpublished|1
impossible|15
meet|20
struck|45
appearance|11
short|54
lookouts|13
mastheads|31
eagerly|8
scanning|3
expanse|3
totally|2
different|25
regular|24
voyage|89
—Currents|1
US|4
Ex|3
Pedestrians|1
vicinity|19
elsewhere|11
recollect|1
curved|4
upright|11
arches|2
gateways|1
entrances|2
alcoves|2
perhaps|80
—Tales|1
Voyager|1
Arctic|5
returned|14
pursuit|24
whites|2
bloody|6
possession|11
savages|10
enrolled|3
crew|136
—Newspaper|1
Account|1
Taking|3
Retaking|1
WhaleShip|1
Hobomack|1
vessels|23
American|34
return|16
departed|14
—Cruise|1
Suddenly|5
mass|38
emerged|5
shot|34
perpendicularly|8
—Miriam|1
Fisherman|1
harpooned|7
sure|43
bethink|6
manage|2
powerful|3
unbroken|3
colt|8
appliance|1
rope|44
tied|10
root|4
Chapter|1
Ribs|1
Trucks|1
On|43
occasion|10
male|6
female|3
slowly|49
throw|13
Terra|1
Del|1
Fuego|1
beech|2
tree|19
extended|5
branches|5
—Darwin|1
Naturalist|1
Stern|5
exclaimed|11
turning|50
distended|4
threatening|3
instant|76
destruction|7
lives|22
—Wharton|1
Killer|5
cheery|2
lads|13
harpooneer|74
—Nantucket|1
Song|2
Oh|109
rare|16
mid|3
storm|24
gale|26
home|56
giant|2
boundless|6
—Whale|1
Ishmael|18
ago—never|1
mind|75
precisely—having|1
money|14
purse|7
particular|51
watery|23
part|151
driving|9
spleen|1
regulating|2
circulation|1
Whenever|1
growing|9
grim|11
whenever|15
damp|8
drizzly|1
November|2
soul|82
involuntarily|11
pausing|10
coffin|33
warehouses|2
bringing|10
rear|22
funeral|4
especially|44
hypos|1
get|92
upper|29
moral|3
principle|8
deliberately|7
stepping|6
street|8
methodically|3
knocking|7
hats|4
off—then|1
soon|113
substitute|3
pistol|5
philosophical|1
flourish|3
Cato|1
throws|3
quietly|18
surprising|7
knew|43
degree|26
cherish|9
feelings|5
insular|4
city|14
Manhattoes|1
belted|3
wharves|5
isles|12
coral|7
reefs—commerce|1
surrounds|2
surf|4
left|65
streets|15
waterward|2
Its|5
extreme|13
downtown|1
battery|2
mole|3
washed|4
cooled|2
breezes|4
hours|42
previous|36
sight|104
Look|49
crowds|5
watergazers|1
Circumambulate|1
dreamy|4
Sabbath|4
Go|9
Corlears|1
Hook|2
Coenties|1
Slip|1
thence|7
Whitehall|1
—Posted|1
silent|25
sentinels|1
town|17
thousands|16
mortal|39
reveries|4
leaning|27
spiles|1
seated|25
pierheads|1
looking|54
bulwarks|35
China|8
rigging|32
striving|10
still|295
seaward|2
peep|8
landsmen|10
week|5
pent|2
lath|1
plaster—tied|1
counters|1
nailed|10
benches|2
clinched|3
desks|1
Are|11
fields|6
pacing|9
straight|43
seemingly|9
dive|8
Strange|2
Nothing|13
content|18
extremest|2
limit|5
loitering|1
shady|1
yonder|16
suffice|2
nigh|42
possibly|29
falling|12
stand—miles|1
them—leagues|1
Inlanders|1
lanes|1
alleys|1
avenues—north|1
east|10
west|6
Yet|45
unite|6
Tell|10
magnetic|7
virtue|16
needles|9
compasses|9
attract|1
thither|10
Once|5
Say|7
lakes|3
Take|18
ten|44
carries|16
dale|1
leaves|19
pool|5
magic|9
absentminded|4
plunged|9
deepest|6
reveries—stand|1
legs|35
agoing|1
infallibly|11
Should|2
athirst|3
desert|8
experiment|4
caravan|2
happen|8
supplied|10
metaphysical|2
professor|4
Yes|47
knows|27
meditation|4
wedded|4
artist|3
desires|4
dreamiest|1
shadiest|1
quietest|1
enchanting|1
romantic|7
landscape|3
valley|6
Saco|1
chief|25
employs|2
trees|9
hollow|19
trunk|17
hermit|3
crucifix|1
meadow|4
sleep|44
cattle|6
sleepy|8
smoke|29
Deep|1
distant|20
woodlands|2
winds|19
mazy|1
reaching|13
overlapping|2
spurs|2
mountains|8
bathed|2
hillside|1
blue|40
picture|18
lies|20
thus|106
tranced|3
pinetree|1
sighs|2
shepherd|2
yet|294
vain|29
unless|31
visit|12
Prairies|2
June|2
scores|4
wade|3
kneedeep|1
Tigerlilies—what|1
charm|7
wanting|11
—Water—there|1
drop|24
Were|4
Niagara|2
cataract|2
sand|9
travel|5
Why|47
poet|2
Tennessee|1
suddenly|45
receiving|12
handfuls|4
silver|11
deliberate|5
buy|3
sadly|12
needed|7
invest|6
pedestrian|2
trip|3
Rockaway|1
Beach|2
robust|3
healthy|5
boy|36
crazy|12
passenger|6
mystical|9
vibration|5
Persians|1
hold|87
holy|14
Greeks|2
separate|20
deity|1
Jove|9
Surely|5
meaning|17
deeper|19
story|46
Narcissus|1
grasp|5
tormenting|2
mild|28
image|11
fountain|7
drowned|11
rivers|3
oceans|14
ungraspable|1
phantom|14
key|7
habit|2
going|79
begin|12
hazy|1
conscious|8
lungs|16
mean|37
inferred|4
needs|20
rag|2
something|115
Besides|30
passengers|5
seasick—grow|1
quarrelsome—don|1
nights—do|1
enjoy|5
general|64
—no|2
salt|8
Captain|212
Cook|13
abandon|3
glory|17
distinction|4
offices|1
abominate|1
honourable|7
respectable|3
toils|1
trials|1
tribulations|2
quite|41
care|11
taking|47
barques|1
brigs|3
schooners|1
cook|41
—though|5
confess|8
